;timestamp;ALLSKY_SFC_LW_DWN
228;2000-08-01;384.1322580645161
229;2000-08-01;379.8689655172414
230;2000-08-01;387.5193548387097
231;2000-08-01;349.4266666666666
232;2000-08-01;339.8322580645161
233;2000-08-01;337.25
234;2000-08-01;326.9129032258064
235;2000-08-01;341.6645161290323
236;2000-08-01;355.63666666666666
237;2000-08-01;371.3354838709677
238;2000-08-01;374.0366666666667
239;2000-08-01;381.61290322580646
240;2001-08-01;384.83903225806455
241;2001-08-01;386.2492857142857
242;2001-08-01;379.28483870967744
243;2001-09-01;358.3603333333333
244;2001-09-01;346.72999999999996
245;2001-09-01;339.847
246;2001-09-01;332.181935483871
247;2001-09-01;336.1716129032258
248;2001-09-01;356.8236666666667
249;2001-09-01;355.65967741935486
250;2001-09-01;380.9426666666667
251;2001-09-01;380.49967741935484
252;2002-09-01;385.7367741935484
