YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
1981,4,6,-999.0,-999.0,-999.0,-999.0,19.92,17.08,18.5,20.51,-264.28,25.44,16.56,,,,,
1981,4,7,-999.0,-999.0,-999.0,-999.0,19.12,15.99,17.56,19.69,-263.86,25.04,15.75,,,,,
1981,4,8,-999.0,-999.0,-999.0,-999.0,18.66,15.26,16.96,19.24,-262.51,25.24,14.6,,,,,
1981,4,9,-999.0,-999.0,-999.0,-999.0,18.22,15.56,16.89,18.82,-265.27,23.1,15.23,,,,,
1981,4,10,-999.0,-999.0,-999.0,-999.0,17.92,14.71,16.31,18.64,-264.34,23.38,14.57,,,,,
1981,4,11,-999.0,-999.0,-999.0,-999.0,17.75,14.76,16.26,18.55,-262.81,24.01,13.66,,,,,
1981,4,12,-999.0,-999.0,-999.0,-999.0,18.76,15.26,17.01,19.56,-261.67,25.41,13.92,,,,,
1981,4,13,-999.0,-999.0,-999.0,-999.0,18.83,15.85,17.33,19.51,-262.99,24.89,14.73,,,,,
1981,4,14,-999.0,-999.0,-999.0,-999.0,19.19,15.95,17.57,20.03,-261.92,25.68,14.45,,,,,
1981,4,15,-999.0,-999.0,-999.0,-999.0,19.17,16.9,18.04,19.4,-264.46,24.41,15.73,,,,,
1981,4,16,-999.0,-999.0,-999.0,-999.0,18.41,16.7,17.56,18.83,-266.63,22.68,16.15,,,,,
1981,4,17,-999.0,-999.0,-999.0,-999.0,16.72,14.55,15.63,16.89,-267.27,19.69,13.81,,,,,
1981,4,18,-999.0,-999.0,-999.0,-999.0,14.61,12.24,13.43,14.76,-266.44,18.33,11.62,,,,,
1981,4,19,-999.0,-999.0,-999.0,-999.0,14.68,11.27,12.98,14.87,-262.77,20.6,10.23,,,,,
1981,4,20,-999.0,-999.0,-999.0,-999.0,16.05,12.18,14.11,16.27,-260.84,22.87,10.55,,,,,
1981,4,21,-999.0,-999.0,-999.0,-999.0,17.43,12.44,14.93,17.18,-259.92,24.37,11.13,,,,,
1981,4,22,-999.0,-999.0,-999.0,-999.0,17.54,12.37,14.96,16.88,-260.77,24.09,11.71,,,,,
1981,4,23,-999.0,-999.0,-999.0,-999.0,18.01,13.37,15.69,17.55,-259.63,25.08,11.56,,,,,
1981,4,24,-999.0,-999.0,-999.0,-999.0,19.71,16.06,17.88,19.41,-262.56,25.6,15.01,,,,,
1981,4,25,-999.0,-999.0,-999.0,-999.0,20.11,17.96,19.04,20.15,-263.96,25.26,16.08,,,,,
1981,4,26,-999.0,-999.0,-999.0,-999.0,20.51,16.9,18.7,20.23,-263.13,26.0,15.98,,,,,
1981,4,27,-999.0,-999.0,-999.0,-999.0,19.98,16.43,18.2,19.71,-261.63,26.26,14.75,,,,,
1981,4,28,-999.0,-999.0,-999.0,-999.0,20.2,16.9,18.55,20.14,-263.13,25.51,15.49,,,,,
1981,4,29,-999.0,-999.0,-999.0,-999.0,18.87,16.43,17.65,19.02,-264.75,23.34,14.94,,,,,
1981,4,30,-999.0,-999.0,-999.0,-999.0,15.79,13.22,14.5,16.44,-265.24,20.68,12.77,,,,,
1981,5,1,-999.0,-999.0,-999.0,-999.0,16.23,13.49,14.87,16.9,-264.23,21.67,12.75,,,,,
1981,5,2,-999.0,-999.0,-999.0,-999.0,17.9,15.2,16.55,18.37,-262.74,23.9,13.48,,,,,
1981,5,3,-999.0,-999.0,-999.0,-999.0,19.43,16.53,17.98,19.41,-262.49,25.03,14.37,,,,,
1981,5,4,-999.0,-999.0,-999.0,-999.0,18.9,15.94,17.42,18.4,-263.09,25.15,15.08,,,,,
1981,5,5,-999.0,-999.0,-999.0,-999.0,17.8,14.59,16.19,17.58,-259.58,25.26,11.69,,,,,
1981,5,6,-999.0,-999.0,-999.0,-999.0,17.94,15.36,16.65,18.05,-260.74,24.99,12.58,,,,,
1981,5,7,-999.0,-999.0,-999.0,-999.0,18.31,14.86,16.58,18.59,-263.19,24.48,14.52,,,,,
1981,5,8,-999.0,-999.0,-999.0,-999.0,18.41,14.68,16.55,18.8,-261.22,24.74,12.81,,,,,
1981,5,9,-999.0,-999.0,-999.0,-999.0,18.54,14.73,16.63,18.56,-261.5,24.83,13.18,,,,,
1981,5,10,-999.0,-999.0,-999.0,-999.0,19.63,14.45,17.05,18.79,-261.15,25.37,13.37,,,,,
1981,5,11,-999.0,-999.0,-999.0,-999.0,19.9,14.23,17.07,18.9,-263.22,25.46,15.53,,,,,
1981,5,12,-999.0,-999.0,-999.0,-999.0,18.55,14.76,16.65,18.28,-260.95,25.5,13.31,,,,,
1981,5,13,-999.0,-999.0,-999.0,-999.0,18.28,14.44,16.36,18.15,-260.38,25.24,12.48,,,,,
1981,5,14,-999.0,-999.0,-999.0,-999.0,18.32,12.98,15.65,17.98,-261.26,25.29,13.4,,,,,
1981,5,15,-999.0,-999.0,-999.0,-999.0,17.41,13.72,15.56,17.49,-263.13,23.02,13.01,,,,,
